,score_TextBlob,Nasdaq Trend,LM_test
47,0.04093137254901961,1.0,-0.6
49,0.08014855514855515,1.0,-0.7
48,0.027175024050024046,1.0,-0.4883720930232558
46,0.13038155527881554,1.0,-0.4
50,0.08131977671451356,1.0,-0.125
60,0.029551020408163264,0.0,-0.6923076923076923
61,0.0327027027027027,0.0,-0.8947368421052632
59,0.07613086367184728,0.0,-0.6551724137931034
62,0.019463083213083213,0.0,-0.4666666666666667
57,0.03647939478821832,0.0,-0.5813953488372093
56,0.017477203647416416,0.0,-0.46153846153846156
58,0.037792792792792795,0.0,-0.68
64,-0.07699228681371541,1.0,-0.047619047619047616
65,0.08921961550993808,1.0,-0.2727272727272727
66,0.12228509585652443,1.0,-0.5172413793103449
67,0.03965720022948939,1.0,-0.5789473684210527
68,0.11192320025653357,1.0,-0.26666666666666666
76,0.09028945469734943,1.0,-0.6666666666666666
74,0.03714726631393298,1.0,-0.5
73,0.20475810738968636,1.0,0.17647058823529413
75,-0.0191041366041366,1.0,-0.5813953488372093
71,0.028947368421052635,1.0,-0.75
70,0.06248917748917751,1.0,-0.6190476190476191
69,0.025734048560135517,1.0,-0.7857142857142857
72,-0.09201689021361154,1.0,-0.6666666666666666
84,0.05,0.0,0.0
83,0.05821982281284608,0.0,-0.5789473684210527
82,0.058333333333333334,0.0,-0.8333333333333334
81,-0.04683641975308641,0.0,-0.7777777777777778
79,0.02652464494569758,0.0,-0.5454545454545454
78,0.042474581724581725,0.0,-0.6744186046511628
77,0.0162384760301427,0.0,-0.3023255813953488
80,0.044270833333333336,0.0,-0.2727272727272727
85,-0.03786549707602339,1.0,-0.8
86,0.01637626262626262,0.0,-0.6470588235294118
95,0.07487745098039214,0.0,-0.7142857142857143
98,0.10096743534243537,0.0,-0.5384615384615384
96,0.04840007215007215,0.0,-0.5
94,-0.06593567251461989,0.0,0.0
97,0.05918358461461909,0.0,-0.5555555555555556
92,0.1256098302446617,0.0,-0.23076923076923078
91,-0.022140522875816995,0.0,-0.8
93,0.10465892311822549,0.0,-0.47368421052631576
90,0.04645736208236208,0.0,-0.3
99,0.08474742965367964,0.0,-0.02857142857142857
100,0.04725713012477718,0.0,-0.6774193548387096
101,0.18613636363636363,0.0,-1.0
102,0.045151992615227905,0.0,-0.6956521739130435
103,0.08407635678822119,0.0,-0.5
104,0.045151992615227905,0.0,-0.6956521739130435
109,0.15680555555555556,0.0,-0.38461538461538464
107,0.03151249335459861,0.0,-0.4782608695652174
108,0.036003663003663006,0.0,-0.6666666666666666
105,0.03709477895841532,0.0,-0.6521739130434783
106,0.04311507936507936,0.0,-0.4
110,0.02133074120779039,1.0,-0.7777777777777778
111,-0.012668038408779156,1.0,-0.7714285714285715
112,0.06475903212014324,1.0,-0.1875
113,0.030343219159008637,1.0,-0.4117647058823529
114,0.07657678479712379,1.0,-0.6153846153846154
115,0.15625,1.0,1.0
116,0.03659693877551019,1.0,-0.45
117,0.06438679245283019,1.0,-0.7058823529411765
123,0.09584541062801932,1.0,-0.3333333333333333
125,0.04340225563909774,1.0,-0.8888888888888888
124,0.07710374924976696,1.0,-0.4222222222222222
122,0.11865079365079365,1.0,-0.1111111111111111
118,-0.030612947658402202,1.0,-0.5813953488372093
120,-0.043245234297865885,1.0,-0.696969696969697
119,-0.04970317207159311,1.0,-0.8
121,0.04583333333333333,1.0,-0.3333333333333333
127,0.08570075757575762,1.0,-0.6
128,-0.10565488215488217,1.0,-0.6923076923076923
129,0.0016460905349794262,1.0,-0.2
137,0.07991300043625628,0.0,-0.3333333333333333
136,0.05889037433155081,0.0,-0.3333333333333333
135,0.073915544332211,0.0,-0.42857142857142855
134,0.12032703886152162,0.0,-0.42857142857142855
133,0.05613821138211382,0.0,-0.7419354838709677
131,0.11327086656034026,0.0,-0.3157894736842105
130,0.06995748625495463,0.0,-0.7333333333333333
132,-0.012388429752066119,0.0,-0.2903225806451613
148,0.11898148148148148,1.0,-0.25
147,0.05680180180180181,1.0,-0.4
146,0.1288888888888889,1.0,-0.3333333333333333
145,0.06225579975579976,1.0,-0.6666666666666666
143,0.037070707070707073,1.0,-0.2631578947368421
144,0.10411543641543641,1.0,-0.4909090909090909
141,0.00404761904761905,1.0,-0.14285714285714285
140,0.015672143513052603,1.0,-0.5652173913043478
139,0.07728766360345309,1.0,-0.7
138,0.04111305361305363,1.0,-0.7090909090909091
142,0.0,1.0,-1.0
161,0.17500000000000002,1.0,-1.0
160,0.048090499881544665,1.0,-0.68
158,0.05552380952380951,1.0,-0.8095238095238095
157,0.08900560224089636,1.0,0.0
